Project Name,Action Notes,Status,URL,Working Time / Due Date
Moodboards,,Done,,"July 22, 2024 → August 2, 2024"
Moodboards Present,,Done,,"August 2, 2024"
Print Redesign Layout,,In progress,,"July 29, 2024 → August 16, 2024"
Print Redesign Layout Present,,Presentation,,"August 16, 2024"
Image Selection Rd 1,,In progress,,"July 29, 2024 → August 23, 2024"
Image Selection Rd 1 Present,,Presentation,,"August 23, 2024"
Interactive Elements / Art Direction Artists,"Decisions on artists, decisions on interactivity for map [Prismic limitations]",In progress,,"July 29, 2024 → August 30, 2024"
Interactive Elements / Art Direction Artists Present,,Presentation,,"August 30, 2024"
Image Selection Rd 2,,Future work,,"August 12, 2024 → August 30, 2024"
Image Selection Rd 2 Present,,Presentation,,"August 30, 2024"
Image Selection - Rd 2- Print Layout,,Future work,,"August 19, 2024 → September 6, 2024"
Image Selection - Rd 2- Print Layout Present,,Presentation,,"September 6, 2024"
Online Issue Publication,,Publish,,"September 9, 2024 → September 13, 2024"
"Print Layout Rd 3 ",,Future work,,"September 9, 2024 → September 20, 2024"
Print Layout Rd 3 Present,,Presentation,,"September 20, 2024"
Print Layout Final,,Future work,,"September 23, 2024 → September 27, 2024"
Print Layout Final Present,,Presentation,,"September 27, 2024"
Release to Printer,,Future work,,"September 30, 2024 → October 2, 2024"
Issue 9 Printed,,Publish,,"October 14, 2024 → October 25, 2024"